region,retour,situation,pus,groscolis,repere,adresse,map,longlat,statut
Abidjan Centre et Est (Cocody-Plateau),Oui,COD,Angre Château,Non,Pharmacie des Allées,"Immeuble Batim, à 50m du château d'eau, proche de la Pharmacie les Allées",bit.ly/2Oozt2j,"5.409962269338959,-3.984845004000914",Live
Abidjan Centre et Est (Cocody-Plateau),Oui,COD,Cocody Plateau Dokui,Oui,Rond point allocodrome Dokui,Au rond point de l'allocodrome à l'intérieur du point service Startime,bit.ly/2nBDjYD,"5.396401580111229,-4.003072574024484",Close
Abidjan Centre et Est (Cocody-Plateau),Oui,COD,Cocody Faya,Non,Entre station Shell et Feu nouveau goudron,"Route de Bingerville, non loin de la station Shell avant le feu de nouveau goudron",https://bit.ly/3rIXCVl,"5.3722876980055805,-3.9300250028597694",Live
Abidjan Centre et Est (Cocody-Plateau),Oui,COD,Riviera Palmeraie,Non,Pharmacie Marthe Robin,A 100m du Carrefour Giraud sur la montée,bit.ly/2klTLuB,"5.37279593437995,-3.959260731694947",Live
Abidjan Centre et Est (Cocody-Plateau),Oui,COD,Plateau Mosquée,Non,Coqivoire Mosquée plateau,"RDC Mosquée du Plateau, à proximité de la boutique Coqivoire",bit.ly/3p90GT7,"5.319454766416154,-4.01533658566835",Close
Abidjan Centre et Est (Cocody-Plateau),Oui,COD,Riviera 2,Non,Groupe scolaire André Malraux,2ème carrefour à droite en venant du rond point de la Riviera 2,bit.ly/2m0CozR,"5.3564647308807904,-3.976816331695035",Live
Abidjan Centre et Est (Cocody-Plateau),Non,COD,Deux plateaux mobile,Non,Carrefour ancien marché,Non loin de l'agence BNI; à l'intérieur de l'agence mobile money MONDESIR.COM, bit.ly/2Qfb4L8,"5.368594999593781,-4.001155974024628",Live
Abidjan Centre et Est (Cocody-Plateau),Oui,COD,Cocody ENA,Non,ENA,À l'intérieur de l'espace MTN ENA,bit.ly/2Tdr9To,"5.361575829312883,-3.9983396451894975",Live
Abidjan Centre et Est (Cocody-Plateau),Oui,COD,Bingerville carrefour syndicat ,Non,Pharmacie Marina, A côté de la pharmacie marina,bit.ly/30YbMzX,"5.366504884066371,-3.909010092858274",Live
Abidjan Centre et Est (Cocody-Plateau),Oui,COD,Bingerville - quartier Adjamé Bingerville,Non,Super marché Bon prix,Dans la rue en face du super marché Bon Prix,bit.ly/2kQqPep,"5.350968978818752,-3.8757778028598935",Live
Abidjan Nord Ouest (Abobo - Adjamé - Yopougon),Oui,COD,Abobo marché de nuit,Non,Abobo Marché de nuit ,Station Petro Ivoire ;Autoroute d'Abobo ; au marché de nuit,bit.ly/3pvwlyA,"5.436368224166074,-4.030053966220641",Live
Abidjan Nord Ouest (Abobo - Adjamé - Yopougon),Non,COD,Abobo - quartier Kennedy,Non,Pharmacie Kennedy ,Abobo Kennedy non loin de la pharmacie Kennedy,bit.ly/2kFfNZF,"5.418085509616731,-4.006159902728171",Live
Abidjan Nord Ouest (Abobo - Adjamé - Yopougon),Non,Prepaid,Abobo Akeikoi,Oui,Carrefour Akeikoi,au carrefour Akeikoi au sein de l'agence MTN Money,bit.ly/2NDVc66,"5.427386403441721,-4.0149540468402485",Close
Abidjan Nord Ouest (Abobo - Adjamé - Yopougon),Non,COD,Abobo Baoulé,Non,Carrefour Dahico,derrière le lavage Dahico,bit.ly/2mpp2xx,"5.418438009522964,-3.998154018071437",Live
Abidjan Nord Ouest (Abobo - Adjamé - Yopougon),Non,Prepaid,Abobo Mairie,Non,Maire d'Abobo,Immeuble Mami Faitai à l'intérieur de l'agence MTN,bit.ly/3cW6OcI,"5.43811002773908,-4.03782258584022",Close
Abidjan Nord Ouest (Abobo - Adjamé - Yopougon),Non,COD,Abobo quartier  Biabou,Non,Pharmacie Biabou,Non loin de la pharmacie Biabou,bit.ly/2UsEWFR,"5.441684488809078,-3.9830724528358368",Live
Abidjan Nord Ouest (Abobo - Adjamé - Yopougon),Oui,COD,Adjamé Pharmacie Saint Michel,Non,Lycée moderne 2 NANGUI ABROGOUA d'Adjamé,"En face du lycée moderne 2 NANGUI ABROGOUA d'Adjamé; au sein du centre commercial ""Ancienne résidence des maires""",https://bit.ly/48F14AX,"9.994532939941484,-5.89515378048897",Live
Abidjan Nord Ouest (Abobo - Adjamé - Yopougon),Oui,COD,Yopougon Bel Air,Non,Centre commercial AGOUMAN ,"Au sein du centre commercial AGOUMAN ,juste après la bank ECOBANK ",bit.ly/3jQ2q2N,"5.3454546378438295,-4.061695094328326",Close
Abidjan Nord Ouest (Abobo - Adjamé - Yopougon),Non,COD,Yopougon palais de Justice,Non,"Pharmacie Artemia, palais de justice ",En face du palais de Justice derrière la Pharmacie Artemia,bit.ly/2kRsQqT,"5.326503149928957,-4.077694402859989",Live
Abidjan Nord Ouest (Abobo - Adjamé - Yopougon),Oui,COD,Yopougon Port-Bouet 2,Oui,Pharmacie Port bouet 2,"Au feu de de la pharmacie Port Bouet 2, en face de la banque Advans",bit.ly/2lYT5f0,"5.346857912272622,-4.087166702859911",Close
Abidjan Nord Ouest (Abobo - Adjamé - Yopougon),Oui,COD,Yopougon Selmer,Non,Marché Dominique Ouattara,Yopougon Selmer à l'intérieur du marché Dominique Ouattara,bit.ly/2lVfQRj,"5.340526535760523,-4.068479289365422",Live
Abidjan Nord Ouest (Abobo - Adjamé - Yopougon),Non,Prepaid,Yopougon Bonikro,Non,Pharmacie Alicia,"A l'intérieur de l'agence orange money, entre la DREN et la pharmacie Alicia",bit.ly/35phOKO,"5.351828864462116,-4.103577646460056",Close
Abidjan Nord Ouest (Abobo - Adjamé - Yopougon),Oui,COD,Yopougon Lubafrique,Non,COOPEC Yopougon Lubafrique,A l'intérieur de l'agence Orange money; A côté de la COOPEC,bit.ly/39XwvYU,"5.3304360159420145,-4.103169213233089",Live
Abidjan Nord Ouest (Abobo - Adjamé - Yopougon),Oui,COD,Yopougon Maroc,Non,Mosquée yopougon Maroc,Non loin de la mosquée à l'intérieur de l'agence de transfert Mobile Monney., bit.ly/2QvlSnV,"5.3405713357468505,-4.097037532266154",Live
Abidjan Nord Ouest (Abobo - Adjamé - Yopougon),Oui,COD,Yopougon toit rouge,Non,Poste toit rouge,Non loin de l'agence MTN en direction du collège Offoumou Yapo,bit.ly/2SI6AwM,"5.333460490751551,-4.054160360530293",Close
Abidjan Sud (Marcory - Koumassi - Port-Bouet),Oui,COD,Marcory Carrefour Solibra,Non,Immeuble rochebobois,Immeuble Roche Bobois à coté de l'école ETIC,https://maps.app.goo.gl/ibnByxstffM9fQhQ7,"5.30225225618723,-3.993475232991666",Live
Abidjan Sud (Marcory - Koumassi - Port-Bouet),Oui,COD,Gonzagueville,Non,Carrefour Abraham,Carrefour Abraham non loin de l'espace Oasis 1er.,bit.ly/2mdRToe,"5.239442606219892,-3.8875073028603504",Live
Abidjan Sud (Marcory - Koumassi - Port-Bouet),Oui,COD,Grand Carrefour de Koumassi,Non,Grand carrefour Koumassi,"Grand carrefour de Koumassi, entre le restaurant le Titanic et Ecobank",bit.ly/3aMAxVa,"5.287316212389527,-3.9709302932527586",Close
Abidjan Sud (Marcory - Koumassi - Port-Bouet),Non,COD,Marcory Poto-poto,Non,Non loin de la pharmacie Ebathé,Entre la Pharmcie Ebathé et l'Hopital General de Marcory ,bit.ly/2mjcCXP,"5.302315186398348,-3.983121831695253",Close
Abidjan Sud (Marcory - Koumassi - Port-Bouet),Non,COD,Marcory Résidentiel ,Non,Pharmacie Bethesda Résidentielle, sur le même alignement que le  Groupe LOKO grand bloc au sein de l' agence de voyage club service,bit.ly/2kO5aDC,"5.309816223368101,-3.985579643964466",Close
Abidjan Sud (Marcory - Koumassi - Port-Bouet),Oui,COD,Port-Bouet,Non,Port-Bouet en face de la pharmacie Malon,"Prendre la rue en face de la  pharmacie MALON, l'agence se trouve à 300 m sur votre gauche",bit.ly/2mdYkaS,"5.2593447563574856,-3.960996731695458",Close
Abidjan Sud (Marcory - Koumassi - Port-Bouet),Non,Prepaid,Treichville,Non,Non loin de Lubritex,Abidjan Treichville avenue 21 rue 16b ,bit.ly/2kC2gSB,"5.302309118110378,-4.008603731695258",Close
Abidjan Sud (Marcory - Koumassi - Port-Bouet),Oui,COD,Vridi cité,Non,SODECI en face de l'église des assemblés de Dieu,Non loin de la SODECI en face de l'église des assemblés de Dieu,bit.ly/2YxgJkb,"5.260014422298486,-3.98193496069191",Live
Région de San-Pédro,Oui,COD,Gabiadji,Oui,Carrefour camp BAKOUE,Derrière la pharmacie route de l'hôpital ,bit.ly/2P5jtT8,"5.017944,-6.558917",Live
Région de la Nawa,Oui,COD,Meagui,Oui,Agence principale Orange,Route de San Pedro à côté de l'agence principale d'orange,bit.ly/2mdX4EG,"5.405082253637557,-6.554822574024461",Live
Région de San-Pédro,Oui,COD,San Pedro Grand Endémie,Oui,Grand Edemie,"Quartier Lac en face du grand endémie, immeuble Bowl",bit.ly/2kEC4H2,"4.746291107369013,-6.6386532740272015",Live
Région de San-Pédro,Oui,COD,San Pedro Pharmacie Madou,Oui,Pharmacie Madou,Au rond point de la gare non loin de la pharmacie Madou,bit.ly/2lTCDNg,"4.772194307597951,-6.646825183251096",Close
Région de la Nawa,Oui,COD,Soubre,Oui,Carrefour Doboua,"Non loin du carrefour Doboua, après la Gendarmerie en allant au marché",bit.ly/2mdZhQu,"5.7842700944981065,-6.594510731693073",Live
Région de San-Pédro,Oui,COD,Tabou,Oui,La nouvelle pharmacie de Tabou,Non loin de la nouvelle pharmacie; à l'intérieur de l'agence mobile money , bit.ly/39x1fzN,"4.428192465462185,-7.356585534115985",Live
Région du Gbôklé,Oui,COD,Sassandra,Oui,Camp fonctionnaire,En face de la banque populaire de Sassandra,bit.ly/2ICmcgs,"4.951121518717607,-6.084425575067922",Live
Région de San-Pédro,Oui,COD,SOGB centre commercial,Oui,Centre commercial ,A l'entrée du domaine SOGB,bit.ly/30kD1ES,"4.670237741446389,-7.080744380137129",Live
Région du Sud-Comoé,Oui,COD,Aboisso,Oui,Quartier commerce - En face de l'immeuble fian,Quartier commerce - En face de l'immeuble fian,https://bit.ly/3PLgV8z,"5.466921171231565,-3.2081442672769422",Live
Région du Sud-Comoé,Oui,Prepaid,Bonoua,Oui,Carrefour 2 etages,Bonoua en face de 2 étages,bit.ly/2mextvl,"5.280255581506823,-3.5958493961129556",Live
Région du Sud-Comoé,Oui,COD,Grand Bassam,Oui,Station Ivoire Lub,"Moossou, au sein de la station Ivoire Lub",bit.ly/2klOenP,"5.221604923563006,-3.7265006177998874",Close
Région de l'Indénié-Djuablin,Oui,COD,Abengourou,Oui,Agence MTN Grand marché,En face du grand marché entre le restaurant Ochan et l'agence MTN.,bit.ly/3puVUQ9,"6.731508074998303,-3.487253247599936",Live
Région de l'Indénié-Djuablin,Oui,COD,Agnibilekrou,Oui,"Carrefour Vagabond Terrain, Ancien Cmec","Carrefour Vagabond Terrain, Ancien Cmec",bit.ly/2kjn0y8,"7.131757526083785,-3.2031795451804372",Live
Région du Sud-Comoé,Oui,Prepaid,Aniassue,Oui,"Maquis connexion, gare d'Abengourou","Non loin du maquis la Connexion, en face de la gare d'Abengourou",bit.ly/2XTI3aR,"6.657903140136851,-3.6824777316886173",Live
Région du Sud-Comoé,Oui,Prepaid,Bongouanou,Oui,Hopital Général,En face de l'Hopital general de Bongouanou en allant au quartier Habitat,bit.ly/2CG2qBk,"6.655169597781855,-4.21187218993002",Live
Région de l'Iffou,Oui,COD,Daoukro,Oui,Ancien Ivograin,"Ancien Ivograin, en venant d'Abidjan deuxième feu à gauche",bit.ly/2kEoLX4,"7.057860892232613,-3.961028938433637",Live
Région du N'Zi,Oui,COD,Dimbokro,Oui,Agence Ex Cote d'ivoire Telecom,En face de l'agence Cote D'Ivoire Télecom juste au feu,bit.ly/2lXQe6o,"6.649229113648049,-4.70636110285349",Live
Région du Sud-Comoé,Oui,Prepaid,Adiaké,Oui,Carrefour ancienne boulangerie,Carrefour ancienne boulangerie,bit.ly/2FYGNu9,"5.285788037524833,-3.302378697449687",Live
Région du Sud-Comoé,Oui,Prepaid,Maféré,Oui,Nouvelle Boulangerie ,Non loin de la Nouvelle Boulangerie,bit.ly/3cSnuSr,"5.415215235367412,-3.0313333028595895",Live
Région de l'Indénié-Djuablin,Oui,Prepaid,Niablé,Oui,Hopital General ,En face de l'hopital Général de Niablé,bit.ly/35eVjcn,"6.665094375224725,-3.2691496316885877",Close
Région du Moronou,Oui,COD,Arrah,Oui,Quartier Ebrin,en face du maquis Le PRESTIGE VIP,bit.ly/3fxUBi0,"6.666533891101741,-3.970329724119479",Live
Région du Bélier,Oui,COD,Didievi,Oui,Didievi,Quartier ALLUI NGUESSANKRO,bit.ly/3rEyLMz,"7.389630589930401,-7.375893289354777",Close
Région du Kabadougou,Oui,Prepaid,Madinani,Oui,Marché de Madinani, Au centre ville en face du marché,bit.ly/2NehVlX,"9.612751289710722,-6.940399631668931",Close
Région du Lôh-Djiboua,Oui,COD,Divo,Oui,Commissariat du 1er Arrondissement ,"Jumia, À 40 m du Commissariat 1er arrondissement juste en face de l'Eglise Catholique, Divo, Côte d'Ivoire",bit.ly/2lSVVm0,"5.841353206823519,-5.355683674022453",Live
Région du Lôh-Djiboua,Oui,COD,Lakota,Oui,Boulangerie SEMAO,Carrefour Dakouri en face de la boulangerie SEMAO,bit.ly/2kRn5JN,"5.863723004243464,-5.68273293169271",Live
Région du Gôh,Oui,COD,Diégonefla,Oui,Collège SANGOUE,Route de Gagnoa en face du Collège SANGOUE,bit.ly/2NuPKQ4,"6.283799737121193,-5.576277802855438",Live
Région du Lôh-Djiboua,Oui,Prepaid,Guitry,Oui, Eglise catholique de Guitry,"Non loin de l'église catholique de Guitry, route résidence du préfet.",https://bit.ly/3Kh2IMi,"5.5205224,-5.24889",Close
Région du Lôh-Djiboua,Oui,Prepaid,Hiré,Oui,Quartier Commerce,En face de la CITELCOM de hiré,bit.ly/2TZQPBG,"6.188114022526095,-5.295754389361444",Close
Région du Haut-Sassandra,Oui,COD,Daloa - Quartier Lobia,Oui,Quartier Lobia - banque UBA,"Proche du centre culturel de Lobia, derrière la banque UBA",https://bit.ly/3Q5ZmkV,"6.890782847495541,-6.449048660522513",Live
Région du Haut-Sassandra,Oui,COD,Daloa - Quartier Tazibouo,Oui,Quartier Tazibouo - restaurant petit Cocody,Quartier Tazibouo en face du restaurant petit Cocody,bit.ly/3dDIyeZ,"6.900625838468468,-6.441718537796939",Live
Région du Haut-Sassandra,Oui,COD,Issia,Oui,CREDIT-FEF,"Issia sur le même bâtiment que CREDIT-FEF, à 150 m de l'hôpital général",bit.ly/2kSTQ9j,"6.497219144079724,-6.585151360524656",Live
Région du Haut-Sassandra,Oui,Prepaid,Vavoua,Oui,Ecobank Vavoua ,Au sein de la boutique Mobile Money en face de l'agence Ecobank de Vavoua,bit.ly/2qj6Qay,"7.376961739244931,-6.480610049581417",Live
Région de la Marahoué,Oui,COD,Bouaflé,Oui,Quartier koko Universelle du royaume de Dieu. ,Non loin de l'église Universelle du royaume de Dieu. , bit.ly/2QlavPJ,"6.984966879309865,-5.744689260259469",Live
Région du Haut-Sassandra,Oui,Prepaid,Saioua,Oui,Pharmacie Saint Jacques,En face de la pharmacie Saint Jacques,bit.ly/3aG1uZX,"6.490092891346823,-6.272102950905493",Close
Région du Haut-Sassandra,Oui,Prepaid,Zoukougbeu,Oui,Pharmacie Zoukougbeu,Non loin de la pharmacie de Zoukougbeu en face de la mairie,bit.ly/2UBATay,"6.76917575228878,-6.861032250992011",Close
Région de la Marahoué,Oui,COD,Sinfra,Oui,Residence Hotel la Rosette,Non loin du carrefour conseil général à 200 mètres de la Résidence Hotel la Rosette,bit.ly/2Sm2UjH,"6.614463620910643,-5.915494007351555",Live
Région de la Marahoué,Oui,COD,Zuenoula,Oui,Gare Essedjé,"En face du marché,ancienne boulangerie centrages",bit.ly/2lT85eE,"7.429756527997151,-6.051577060519331",Live
Région de la Marahoué,Oui,Prepaid,Kononfla,Oui,Gare TDF,Non loin du jardin en face de la gare TDF,bit.ly/2H1RvQQ,"6.651845735913421,-5.602711500571049",Close
